city_name,postal_code,price_sqm,region,province,longitude,lattitude
Hornu,7301.0,1019.4868151216937,Wallonie,Hainaut,3.8276077000000006,50.43376129999999
Horrues,7060.0,1420.149854481296,Wallonie,Hainaut,4.0413076,50.6093445
Houdemont,6724.0,1461.3425925925926,Wallonie,Luxembourg,5.5843337,49.7189016
Houdeng-Aimeries,7110.0,1099.9845135366866,Wallonie,Hainaut,4.1524459,50.4835958
Houffalize,6660.0,1352.3230075946162,Wallonie,Luxembourg,5.7886928,50.1323761
Hour,5563.0,2250.0,Wallonie,Namur,5.037240799999998,50.1613066
Housse,4671.0,1839.5650132338028,Wallonie,Liège,5.693985,50.6796259
Houtain-Le-Val,1476.0,1778.5714285714287,Wallonie,Brabant wallon,4.4110339517433,50.5762935
Houtain-Saint-Siméon,4682.0,1591.4972643777598,Wallonie,Liège,5.6104199,50.7391753
Houthalen-Helchteren,3530.0,1612.841436906906,Flandre,Limbourg,5.3713044000000005,51.0281818
Houthulst,8650.0,1646.8489982927347,Flandre,Flandre-Occidentale,2.9438110508216,50.97407785
Houtvenne,2235.0,1699.7311775732187,Flandre,Anvers,4.8012932645531,51.04605145
Hove,2540.0,2268.3407194158926,Flandre,Anvers,4.477387,51.1486117
Huccorgne,4520.0,1540.2411340361743,Wallonie,Liège,5.1647622,50.56759
Huizingen,1654.0,2284.15221987315,Flandre,Brabant flamand,4.2732545968764,50.74931535
Hulsonniaux,5560.0,1492.0765790455189,Wallonie,Namur,4.947825,50.201583
Humain,6900.0,1323.7169453876688,Wallonie,Luxembourg,5.2552435,50.2053202
Humbeek,1851.0,2239.736518260798,Flandre,Brabant flamand,4.3777599282045,50.9728229
Hyon,7022.0,1396.1182456114498,Wallonie,Hainaut,3.9619447,50.4392359
Hélécine,1357.0,1637.2629486505887,Wallonie,Brabant wallon,4.9822395,50.7514034
Hérinnes-Lez-Pecq,7742.0,1512.4445995010485,Wallonie,Hainaut,3.3623581,50.7008798
Héron,4217.0,1752.0928926676825,Wallonie,Liège,5.0971783,50.5508203
Iddergem,9472.0,1726.8041237113403,Flandre,Flandre-Orientale,4.0440509206633,50.8746795
Incourt,1315.0,1714.7824243346945,Wallonie,Brabant wallon,4.7989440000000005,50.6918004
Ingelmunster,8770.0,1754.4489932601223,Flandre,Flandre-Occidentale,3.2617189739329,50.92196635
Ingooigem,8570.0,1816.4921258849886,Flandre,Flandre-Occidentale,3.4271837357677994,50.8297876
Irchonwelz,7801.0,1420.138888888889,Wallonie,Hainaut,3.7536768,50.6201619
Itterbeek,1701.0,1774.4898272788741,Flandre,Brabant flamand,4.250118700000002,50.8395994
Ittre,1460.0,2064.836442294503,Wallonie,Brabant wallon,4.2611675641255,50.646336700000006
