city_name,postal_code,price_sqm,region,province,longitude,lattitude
Haaltert,9450.0,2359.142437426645,Flandre,Flandre-Orientale,4.0057717,50.9022532
Haasdonk,9120.0,2658.152638100984,Flandre,Flandre-Orientale,4.2383861,51.1806482
Haasrode,3053.0,1800.0,Flandre,Brabant flamand,4.7283706944623,50.81785645
Habay-La-Neuve,6720.0,2380.8620667798773,Wallonie,Luxembourg,5.6503942,49.7286061
Haccourt,4684.0,1779.040404040404,Wallonie,Liège,5.6667674,50.7339784
Haine-Saint-Paul,7100.0,1616.3916441921417,Wallonie,Hainaut,4.1883094,50.454942
Halen,3545.0,2112.7634136253487,Flandre,Limbourg,5.1073913444455,50.9384339
Halle,1587.0588235294117,2867.616691021863,Flandre,Anvers,4.6455565344486,51.2428446
Ham,3945.0,2259.053279512384,Flandre,Limbourg,5.1781109743218,51.11417145
Hamois,5360.0,1333.3333333333333,Wallonie,Namur,5.1594475,50.3408694
Hampteau,6990.0,1360.4161050800108,Wallonie,Luxembourg,5.4729019,50.2579039
Han-Sur-Lesse,5580.0,2042.9494027343123,Wallonie,Namur,5.1877385,50.1254505
Harelbeke,8530.0,2504.379128417749,Flandre,Flandre-Occidentale,3.3425511,50.8293249
Haren,1130.0,3061.0323090537513,Bruxelles,Bruxelles-Capitale,4.4125708732431,50.89196610000001
Harsin,6950.0,1273.5849056603774,Wallonie,Luxembourg,5.3475606,50.173788
Hasselt,3500.0,2903.323149754358,Flandre,Limbourg,5.3368383970676,50.930358
Hastière,5540.0,2354.8910154173313,Wallonie,Namur,4.8225541872005,50.1973562
Havre,7021.0,1894.7619047619048,Wallonie,Hainaut,4.0453329,50.4643434
Hechtel-Eksel,3940.0,2548.228638257973,Flandre,Limbourg,5.3415643775263,51.11664635
Heikruis,1670.0,3666.6666666666665,Flandre,Brabant flamand,4.1126567000000005,50.7348458
Heist-Op-Den-Berg,2220.0,2788.5642480149227,Flandre,Anvers,4.7193765534389005,51.06251415
Helen-Bos,3440.0,2042.4069901312769,Flandre,Brabant flamand,5.0802259143417,50.83603965
Hemiksem,2620.0,2758.398497963731,Flandre,Anvers,4.3420555,51.1442105
Henri-Chapelle,4841.0,1898.236111111111,Wallonie,Liège,5.9318018,50.6768234
Hensies,7350.0,1656.8431677018634,Wallonie,Hainaut,3.6847215,50.4328388
Heppen,3971.0,1764.4812203244778,Flandre,Limbourg,5.2265355962879,51.11582725
Heppignies,6220.0,1659.1813613366423,Wallonie,Hainaut,4.4935448,50.4817059
Herbeumont,6887.0,1617.5595238095239,Wallonie,Luxembourg,5.2377736,49.7815364
Herchies,7050.0,2262.681840012505,Wallonie,Hainaut,3.8577095,50.528238
Herent,3020.0,2872.32073069248,Flandre,Brabant flamand,4.672714,50.9079329
Herentals,2200.0,2470.6162520753996,Flandre,Anvers,4.83464460985,51.1855514
Herenthout,2270.0,2725.2128015939516,Flandre,Anvers,4.7543972000000005,51.1392427
Herfelingen,1540.0,2537.3353187194202,Flandre,Brabant flamand,4.0974868,50.747729
Hergenrath,4728.0,2036.144578313253,Wallonie,Liège,6.0316891,50.7091279
Herk-De-Stad,3540.0,2076.9810474078768,Flandre,Limbourg,5.1884301868953,50.9222911
Hermalle-Sous-Argenteau,4681.0,2484.9856400509157,Wallonie,Liège,5.680871099999999,50.710544
Hermée,4680.0,1960.3315766359246,Wallonie,Liège,5.6186068,50.7087526
Herseaux,7712.0,1996.8781018275238,Wallonie,Hainaut,3.2342044,50.7227127
Herstal,4040.0,1862.3878513555524,Wallonie,Liège,5.6403906,50.6701887
Hertsberge,8020.0,2539.2178335457106,Flandre,Flandre-Occidentale,3.2612349549978,51.10996785
Herve,4650.0,1811.027992277992,Wallonie,Liège,5.7935245,50.63921120000001
Heule,8501.0,2048.4207526816062,Flandre,Flandre-Occidentale,3.2382004806211,50.8511736
Heure,5377.0,1561.0200364298726,Wallonie,Namur,5.2963125,50.2945343
Heusden,3550.0,2398.770767045092,Flandre,Limbourg,5.283553129278401,51.04153335
